Location,Temperature (C ),pH,Conductivity (uS/cm),DO mg/L,DO %,Average PO,Time,year,month,day,hour,minutes,Description
Gull Bay (6m),18.8,7.26,68.1,7.73,84.1,0.027,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (12m),9,6.89,55.1,9.29,81.3,0.027,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (15m),7.8,6.91,54.3,11.56,96.2,0.02,2:00:00 PM,2019,8,5,14,0,sunny
Gull River (0m),24.2,7.58,74.4,6.92,87.7,0.02,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (1m),24.3,7.35,71.5,5.37,64.3,0.033,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (9m),10.8,7.12,59.3,8,67.5,0.1,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (20m),8.5,7.4,60.5,11.5,94.7,0.033,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (3m),24.6,8.2,70.9,3.8,63.8,0.05,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (8m),13,7.9,57.1,8.55,83.8,0.043,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (27m),8.8,7.6,51,11,93.9,0.069,10:30:00 AM,2019,8,5,10,30,sunny
Camp Creek (Outflow),23.8,8.16,84.8,6.89,81.6,0.047,9:00:00 AM,2019,8,6,9,0,rain
Camp Creek (Outflow),23.8,8.11,62.1,7.22,85.4,0.007,9:00:00 AM,2019,8,6,9,0,rain
Camp Creek (Outflow),23.4,7.96,60.3,7.05,82.7,0.06,9:55:00 AM,2019,8,6,9,55,rain
Camp Creek (Outflow),23.4,7.98,71.2,6.82,80.1,0.073,9:55:00 AM,2019,8,6,9,55,rain
Camp Creek (Outflow),24.2,7.9,83.6,7.39,88.1,0.125,1:37:00 AM,2019,8,6,1,37,rain
Shoreline,24.2,7.89,62.4,7.21,86.1,0.063,1:37:00 AM,2019,8,6,1,37,rain
Gull Bay (1m),24.5,7.67,,6.62,77.5,0.063,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (6m),21.6,7.49,,8.23,93,0.05,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (20m),8,7.05,,7.85,67.8,0.077,10:30:00 AM,2019,8,5,10,30,sunny
Dock (0m),24.6,7.57,71.2,6.48,74.7,0.077,10:00:00 AM,2019,8,6,10,0,rain
Dock (0m),24.1,7.56,89.7,6.7,79.7,0.03,10:00:00 AM,2019,8,6,10,0,rain
Dock (0m),24.5,7.65,95.9,6.62,79.5,0.07,10:00:00 AM,2019,8,6,10,0,rain
Creek Creek (mid),12,7.28,58.5,10.38,98.5,0.157,10:00:00 AM,2019,8,6,10,0,rain
Creek near Bunkhouse 2,12.9,7.25,89.4,9.45,89.4,0.113,9:06:00 AM,2019,8,6,9,6,rain
Creek near Bunkhouse 3,13.9,7.49,57.7,9.3,95.7,0.203,10:00:00 AM,2019,8,6,10,0,rain
Rain Water,19.1,7.52,42,7.38,79.6,0.063,9:14:00 AM,2019,8,6,9,14,rain
5m (middle of lake),24,7.96,81.7,5.05,60.4,0.03,10:00:00 AM,2019,8,5,10,0,sunny
10m (middle of lake),10.5,7.78,59.1,10,95.2,0.02,1:47:00 AM,2019,8,5,1,47,sunny
12m (middle of the lake),9.2,7.57,57.7,8.8,78,0.077,9:58:00 AM,2019,8,5,9,58,sunny
Creek near parking lot 1,,,,,,,10:30:00 AM,2019,8,6,10,30,rain
Creek near parking lot 2,12.3,7.24,60.2,8.92,87.2,0.113,9:20:00 AM,2019,8,6,9,20,rain
Creek near parking lot 3,15.3,6.89,61.4,7.2,73,0.12,10:13:00 AM,2019,8,6,10,13,rain
Camp Creek (Weir),16,7.52,46.6,7.52,78.6,0.057,1:48:00 AM,2019,8,6,1,48,rain
Camp Creek (Weir),16,6.82,61.3,7.57,78,0.273,10:06:00 AM,2019,8,6,10,6,rain
Creek near septic tank (before rain),11.8,7.42,58,10.22,94.5,0.167,1:48:00 AM,2019,8,6,1,48,rain
Creek near septic tank (during rain),12.9,7.03,33.2,9.4,89,0.177,9:13:00 AM,2019,8,6,9,13,rain
Creek near septic tank (after rain),13.7,7.49,55.5,9.98,96.2,0.16,10:10:00 AM,2019,8,6,10,10,rain
Weir(upstream after rain),15.1,7.24,31.1,8.68,86.3,0.09,3:00:00 PM,2019,8,6,15,0,rain
Exit of stream into lake (before rain),12.2,7.65,67.1,9.52,88.7,0.044,9:15:00 AM,2019,8,6,9,15,rain
Exit of stream into lake (during rain),13.5,7.21,49.5,8.75,87.2,0.38,10:15:00 AM,2019,8,6,10,15,rain
Exit of stream into lake (after rain),14.3,7.18,61,8.85,87.1,0.15,1:55:00 AM,2019,8,6,1,55,rain
East Shore (before rain),24,7.52,70.2,6.57,78.5,0.03,9:20:00 AM,2019,8,6,9,20,rain
East Shore (during rain),23.7,7.3,35.2,6.52,80.5,0.067,10:20:00 AM,2019,8,6,10,20,rain
East Shore (after rain),24.4,7.04,71.2,6.2,77.5,0.087,2:00:00 AM,2019,8,6,2,0,rain
Gull Bay (25m),6.9,7.1,,9.4,80,0.02,10:30 AM,2021,8,15,10,30,sunny
Gull Bay (2.5m),23.5,7.23,,7.43,88.3,0.01,10:30 AM,2021,8,15,10,30,sunny
Gull River (1m),23.7,7.29,,8.75,105,0.02,11:00 AM,2021,8,15,11,0,sunny
Camp Creek (Weir),15.3,7.02,,7.64,76.4,0.067,4:45 PM,2021,8,15,16,45,sunny
Camp Creek (Bridge),13,7.24,,9.15,86.8,0.06,4:55 PM,2021,8,15,16,55,sunny
Dock (0m),23.8,7.31,,8.56,99,0.027,5:00 PM,2021,8,15,17,0,sunny
Shoreline,21.8,7.04,,6.22,71,0.073,11:00 AM,2021,8,16,11,0,sunny
Rackety Creek Outflow (0m),24.2,7.3,,6.42,74.2,0.017,4:00 PM,2021,8,15,16,0,sunny
Little Bob Lake,,,,,,0.017,4:30 PM,2021,8,15,16,30,sunny
Camp Creek (Weir),14.5,6.93,44,6.94,68,0.087,11:32 AM,2021,8,15,11,32,sunny
Camp Creek (Bridge),12.5,7.17,58.9,9.82,92,0.097,11:51 AM,2021,8,15,11,51,sunny
Camp Creek (Outflow),25.2,7.5,68,7.98,97,0.013,11:56 AM,2021,8,15,11,56,sunny
Camp Creek (Weir),,,,,,0.083,11:42 AM,2021,8,16,11,42,sunny
Camp Creek (Bridge),,,,,,0.1,1:59 PM,2021,8,16,13,59,sunny
Rackety Creek Outflow (2.5m),23.9,7.35,,7.5,89,0.027,11:00 AM,2021,8,18,11,0,sunny
Rackety Creek Outflow (24m),8.4,6.91,,9.25,79.8,0.035,11:00 AM,2021,8,18,11,0,sunny
Gull Bay (25m),7.9,7.03,,9.14,77,0.023,11:30:00 AM,2021,8,18,11,30,sunny
